Runde,Dato,Dag,Tid,Hjemmelag,Resultat,Bortelag,Bane
24,27.10.2021,onsdag,18,Lillestrøm,3 - 0,Stabæk,Åråsen stadion
24,27.10.2021,onsdag,18,Mjøndalen,5 - 0,Kristiansund,Consto Arena
24,27.10.2021,onsdag,18,Sandefjord Fotball,2 - 0,Strømsgodset,Jotun Arena
24,27.10.2021,onsdag,18,Tromsø,2 - 0,Odd,Romssa Arena
24,27.10.2021,onsdag,20,Molde,0 - 2,Bodø/Glimt,Aker stadion
24,28.10.2021,torsdag,18,Brann,0 - 2,Viking,Brann stadion
24,28.10.2021,torsdag,20,Sarpsborg 08,2 - 1,Vålerenga,Sarpsborg st KG
25,30.10.2021,lørdag,16,Kristiansund,1 - 1,Tromsø,Nordmøre stadion
25,30.10.2021,lørdag,18,Rosenborg,1 - 3,Lillestrøm,Lerkendal stadion
25,31.10.2021,søndag,18,Bodø/Glimt,1 - 0,Sandefjord Fotball,Aspmyra stadion
25,31.10.2021,søndag,18,Odd,2 - 2,Mjøndalen,Skagerak Arena
25,31.10.2021,søndag,18,Stabæk,2 - 1,Haugesund,Nadderud stadion
25,31.10.2021,søndag,18,Strømsgodset,6 - 0,Molde,Marienlyst stadion
25,31.10.2021,søndag,18,Viking,1 - 2,Sarpsborg 08,Lyse Arena
25,31.10.2021,søndag,20,Vålerenga,1 - 0,Brann,Intility Arena
26,06.11.2021,lørdag,18,Brann,2 - 2,Rosenborg,Brann stadion
26,06.11.2021,lørdag,18,Sarpsborg 08,4 - 1,Stabæk,Sarpsborg st KG
26,07.11.2021,søndag,17,Haugesund,2 - 2,Bodø/Glimt,Haugesund Sparebank Arena
26,07.11.2021,søndag,17,Mjøndalen,0 - 1,Viking,Consto Arena
26,07.11.2021,søndag,17,Molde,3 - 1,Sandefjord Fotball,Aker stadion
26,07.11.2021,søndag,17,Odd,2 - 4,Kristiansund,Skagerak Arena
26,07.11.2021,søndag,17,Tromsø,1 - 1,Strømsgodset,Romssa Arena
26,07.11.2021,søndag,19,Lillestrøm,0 - 0,Vålerenga,Åråsen stadion
27,20.11.2021,lørdag,18,Strømsgodset,1 - 2,Mjøndalen,Marienlyst stadion
27,20.11.2021,lørdag,18,Viking,1 - 1,Haugesund,Lyse Arena
27,21.11.2021,søndag,17,Bodø/Glimt,2 - 0,Lillestrøm,Aspmyra stadion
27,21.11.2021,søndag,17,Sandefjord Fotball,2 - 2,Brann,Jotun Arena
27,21.11.2021,søndag,17,Sarpsborg 08,1 - 1,Odd,Sarpsborg st KG
27,21.11.2021,søndag,17,Stabæk,3 - 0,Kristiansund,Nadderud stadion
27,21.11.2021,søndag,17,Vålerenga,1 - 1,Tromsø,Intility Arena
27,21.11.2021,søndag,19,Molde,4 - 1,Rosenborg,Aker stadion
28,27.11.2021,lørdag,18,Lillestrøm,4 - 1,Strømsgodset,Åråsen stadion
28,27.11.2021,lørdag,18,Odd,1 - 2,Vålerenga,Skagerak Arena
28,28.11.2021,søndag,17,Haugesund,1 - 2,Sandefjord Fotball,Haugesund Sparebank Arena
28,28.11.2021,søndag,17,Kristiansund,2 - 3,Viking,Nordmøre stadion
28,28.11.2021,søndag,17,Mjøndalen,1 - 3,Sarpsborg 08,Consto Arena
28,28.11.2021,søndag,17,Rosenborg,0 - 0,Bodø/Glimt,Lerkendal stadion
28,28.11.2021,søndag,17,Tromsø,0 - 0,Stabæk,Romssa Arena
28,28.11.2021,søndag,19,Brann,0 - 1,Molde,Brann stadion
29,05.12.2021,søndag,17,Bodø/Glimt,2 - 2,Brann,Aspmyra stadion
29,05.12.2021,søndag,17,Molde,3 - 3,Lillestrøm,Aker stadion
29,05.12.2021,søndag,17,Sandefjord Fotball,3 - 2,Kristiansund,Jotun Arena
29,05.12.2021,søndag,17,Sarpsborg 08,0 - 1,Tromsø,Sarpsborg st KG
29,05.12.2021,søndag,17,Stabæk,1 - 3,Rosenborg,Nadderud stadion
29,05.12.2021,søndag,17,Strømsgodset,0 - 0,Haugesund,Marienlyst stadion
29,05.12.2021,søndag,17,Viking,3 - 1,Odd,Lyse Arena
29,05.12.2021,søndag,17,Vålerenga,2 - 0,Mjøndalen,Intility Arena
30,12.12.2021,søndag,17,Brann,2 - 1,Sarpsborg 08,Brann stadion
30,12.12.2021,søndag,17,Haugesund,1 - 2,Molde,Haugesund Sparebank Arena
30,12.12.2021,søndag,17,Kristiansund,2 - 1,Vålerenga,Nordmøre stadion
30,12.12.2021,søndag,17,Lillestrøm,2 - 0,Sandefjord Fotball,Åråsen stadion
30,12.12.2021,søndag,17,Mjøndalen,0 - 3,Bodø/Glimt,Consto Arena
30,12.12.2021,søndag,17,Odd,3 - 1,Stabæk,Skagerak Arena
30,12.12.2021,søndag,17,Rosenborg,2 - 2,Strømsgodset,Lerkendal stadion
30,12.12.2021,søndag,17,Tromsø,0 - 2,Viking,Romssa Arena
