season,winner,loser,goal_diff,is_draw,home_team,away_team,home_goals,away_goals,home_form,away_form,home_home_form,away_away_form,total_goals
2019,Stabæk,Mjøndalen,2,False,Stabæk,Mjøndalen,4,2,2.2,1.2,0.6666666666666666,0.3333333333333333,6
2019,Viking,Rosenborg,0,True,Viking,Rosenborg,2,2,1.4,1.6,3.0,0.6666666666666666,4
2019,Rosenborg,Viking,0,True,Viking,Rosenborg,2,2,1.4,1.6,3.0,0.6666666666666666,4
2019,Lillestrøm,Sarpsborg 08,0,True,Lillestrøm,Sarpsborg 08,0,0,0.4,1.2,0.6666666666666666,1.3333333333333333,0
2019,Sarpsborg 08,Lillestrøm,0,True,Lillestrøm,Sarpsborg 08,0,0,0.4,1.2,0.6666666666666666,1.3333333333333333,0
2019,Mjøndalen,Vålerenga,1,False,Mjøndalen,Vålerenga,1,0,1.0,1.0,1.6666666666666667,1.0,1
2019,Rosenborg,Ranheim TF,1,False,Rosenborg,Ranheim TF,3,2,1.8,1.2,2.3333333333333335,0.3333333333333333,5
2019,Molde,Bodø/Glimt,2,False,Molde,Bodø/Glimt,4,2,2.4,1.2,3.0,0.6666666666666666,6
2019,Viking,Brann,4,False,Brann,Viking,1,5,1.0,1.4,1.6666666666666667,0.3333333333333333,6
2019,Haugesund,Odd,3,False,Haugesund,Odd,4,1,1.2,1.4,2.3333333333333335,0.3333333333333333,5
2019,Strømsgodset,Kristiansund,1,False,Kristiansund,Strømsgodset,1,2,1.4,1.2,2.3333333333333335,0.6666666666666666,3
2019,Tromsø,Stabæk,0,True,Tromsø,Stabæk,1,1,0.8,2.6,2.3333333333333335,3.0,2
2019,Stabæk,Tromsø,0,True,Tromsø,Stabæk,1,1,0.8,2.6,2.3333333333333335,3.0,2
2020,Vålerenga,Sarpsborg 08,1,False,Sarpsborg 08,Vålerenga,0,1,1.2,1.0,1.6666666666666667,0.6666666666666666,1
2020,Molde,Aalesund,3,False,Aalesund,Molde,1,4,0.0,2.4,0.0,1.3333333333333333,5
2020,Stabæk,Mjøndalen,0,True,Stabæk,Mjøndalen,0,0,2.2,1.4,1.6666666666666667,0.3333333333333333,0
2020,Mjøndalen,Stabæk,0,True,Stabæk,Mjøndalen,0,0,2.2,1.4,1.6666666666666667,0.3333333333333333,0
2020,Sandefjord Fotball,Odd,1,False,Odd,Sandefjord Fotball,1,2,1.4,0.0,2.3333333333333335,0.0,3
2020,Rosenborg,Kristiansund,0,True,Rosenborg,Kristiansund,0,0,2.2,1.2,3.0,0.0,0
2020,Kristiansund,Rosenborg,0,True,Rosenborg,Kristiansund,0,0,2.2,1.2,3.0,0.0,0
2020,Bodø/Glimt,Viking,2,False,Viking,Bodø/Glimt,2,4,1.4,1.0,2.3333333333333335,0.3333333333333333,6
2020,Start,Strømsgodset,0,True,Start,Strømsgodset,2,2,0.0,1.6,0.0,1.3333333333333333,4
2020,Strømsgodset,Start,0,True,Start,Strømsgodset,2,2,0.0,1.6,0.0,1.3333333333333333,4
2020,Brann,Haugesund,1,False,Haugesund,Brann,1,2,1.8,0.8,2.3333333333333335,0.3333333333333333,3
2020,Mjøndalen,Sarpsborg 08,1,False,Mjøndalen,Sarpsborg 08,1,0,1.4,1.0,2.3333333333333335,0.6666666666666666,1
2020,Molde,Rosenborg,1,False,Molde,Rosenborg,1,0,3.0,1.8,3.0,1.0,1
2020,Sandefjord Fotball,Start,0,True,Sandefjord Fotball,Start,2,2,3.0,1.0,0.0,0.0,4
2020,Start,Sandefjord Fotball,0,True,Sandefjord Fotball,Start,2,2,3.0,1.0,0.0,0.0,4
2020,Brann,Viking,3,False,Brann,Viking,3,0,1.2,1.4,1.3333333333333333,1.0,3
2020,Strømsgodset,Odd,1,False,Strømsgodset,Odd,1,0,1.6,1.2,1.6666666666666667,0.3333333333333333,1
2020,Kristiansund,Aalesund,5,False,Kristiansund,Aalesund,7,2,0.8,0.0,2.0,0.0,9
2020,Bodø/Glimt,Haugesund,5,False,Bodø/Glimt,Haugesund,6,1,1.4,1.6,1.6666666666666667,0.6666666666666666,7
2020,Vålerenga,Stabæk,0,True,Vålerenga,Stabæk,2,2,1.4,2.2,1.0,2.3333333333333335,4
2020,Stabæk,Vålerenga,0,True,Vålerenga,Stabæk,2,2,1.4,2.2,1.0,2.3333333333333335,4
2020,Viking,Mjøndalen,0,True,Viking,Mjøndalen,1,1,0.8,2.0,1.3333333333333333,0.3333333333333333,2
2020,Mjøndalen,Viking,0,True,Viking,Mjøndalen,1,1,0.8,2.0,1.3333333333333333,0.3333333333333333,2
2020,Haugesund,Kristiansund,0,True,Haugesund,Kristiansund,2,2,1.4,1.4,2.0,0.3333333333333333,4
2020,Kristiansund,Haugesund,0,True,Haugesund,Kristiansund,2,2,1.4,1.4,2.0,0.3333333333333333,4
2020,Stabæk,Sandefjord Fotball,2,False,Stabæk,Sandefjord Fotball,2,0,1.8,2.0,1.6666666666666667,3.0,2
2020,Aalesund,Brann,0,True,Aalesund,Brann,2,2,0.0,1.8,0.0,1.0,4
2020,Brann,Aalesund,0,True,Aalesund,Brann,2,2,0.0,1.8,0.0,1.0,4
2020,Molde,Start,1,False,Start,Molde,2,3,1.0,3.0,1.0,2.0,5
2020,Odd,Vålerenga,3,False,Odd,Vålerenga,4,1,0.6,1.0,2.0,1.3333333333333333,5
2020,Strømsgodset,Sarpsborg 08,1,False,Sarpsborg 08,Strømsgodset,2,3,0.4,2.0,1.3333333333333333,1.3333333333333333,5
2020,Bodø/Glimt,Rosenborg,1,False,Rosenborg,Bodø/Glimt,2,3,1.6,1.8,2.3333333333333335,1.0,5
2020,Odd,Start,5,False,Start,Odd,0,5,0.6666666666666666,1.2,0.5,0.0,5
2020,Vålerenga,Viking,1,False,Vålerenga,Viking,2,1,0.8,1.0,1.3333333333333333,1.0,3
2020,Haugesund,Sandefjord Fotball,1,False,Sandefjord Fotball,Haugesund,0,1,1.3333333333333333,1.0,1.0,0.6666666666666666,1
2020,Rosenborg,Brann,1,False,Brann,Rosenborg,1,2,1.4,1.0,2.0,0.6666666666666666,3
2020,Kristiansund,Mjøndalen,1,False,Mjøndalen,Kristiansund,1,2,1.6,1.0,3.0,0.6666666666666666,3
2020,Strømsgodset,Aalesund,0,True,Strømsgodset,Aalesund,1,1,2.6,0.3333333333333333,2.3333333333333335,0.0,2
